94,183
183,25
174,166
83,8
17,167
178,121
93,189
91,68
148,111
187,81
134,172
103,71
27,139
108,149
159,51
153,78
119,150
5,127
135,110
173,93
145,180
34,89
145,16
169,160
121,50
82,131
123,154
61,22
70,191
44,143
39,74
132,158
74,18
82,88
41,147
34,91
55,65
167,3
43,94
70,50
193,100
196,191
72,153
15,48
60,140
183,149
101,147
3,189
183,4
14,153
50,166
99,183
107,49
37,115
145,167
22,78
116,185
184,30
118,32
23,82
97,72
125,39
68,0
111,130
59,100
89,57
16,80
79,77
108,168
38,119
118,7
82,83
66,124
119,133
174,190
122,134
51,78
77,8
181,144
49,67
98,76
122,100
69,185
87,65
174,59
11,137
109,121
5,194
3,182
173,181
29,102
91,194
141,76
168,0
98,172
79,39
126,42
192,65
197,135
80,68
21,168
100,22
22,134
199,167
170,164
101,101
74,20
28,164
61,102
46,109
128,155
190,159
24,4
37,183
56,54
157,7
14,53
7,25
34,107
2,25
84,178
91,122
135,47
143,25
160,40
80,125
31,1
100,119
95,7
151,35
193,116
138,176
74,162
62,197
11,41
157,58
99,165
4,150
115,24
75,78
151,91
38,106
129,190
181,117
76,168
159,1
149,113
15,97
198,173
176,152
90,45
75,144
152,20
103,40
162,155
191,47
171,32
167,20
173,49
193,131
94,143
140,45
182,82
59,97
80,110
114,167
186,173
191,141
77,143
57,95
117,17
131,71
122,115
37,152
46,131
96,166
10,179
37,115
2,2
13,103
135,182
120,104
131,21
152,124
143,137
123,13
47,164
104,150
108,157
15,111
24,48
12,159
7,43
102,92
114,184
169,82
31,136
23,57
72,129
28,185
88,90
197,21
1,195
181,70
132,173
178,63
166,196
127,62
40,121
8,84
149,175
19,121
102,73
119,67
181,175
76,196
2,111
128,186
43,65
59,173
13,179
141,11
159,50
26,130
98,31
164,12
137,40
157,20
88,88
133,40
12,111
82,91
23,152
80,42
74,19
17,133
168,162
8,93
156,143
178,110
34,36
41,63
157,111
39,94
136,171
105,144
176,92
41,110
35,166
56,150
40,174
119,67
156,150
136,99
187,148
158,189
153,146
35,154
112,125
23,71
134,57
186,34
153,69
33,20
184,161
152,98
127,39
153,71
34,83
151,101
177,68
88,3
38,108
99,134
97,145
194,5
188,48
107,169
70,19
144,94
51,193
114,172
24,92
193,72
86,39
174,83
63,68
171,113
181,14
186,34
176,95
87,69
49,124
38,161
171,7
132,70
36,128
196,169
146,117
190,183
110,79
2,185
191,127
193,142
81,152
177,114
100,69
105,57
175,19
170,61
69,123
136,31
140,18
156,109
151,30
2,55
182,5
41,57
179,110
125,99
157,166
7,97
71,59
123,129
192,96
189,149
32,167
17,60
159,161
157,155
82,8
30,38
130,7
95,92
181,110
185,168
7,187
69,84
27,84
107,87
177,126
153,129
21,177
166,98
200,37
73,158
174,170
138,169
107,70
148,29
180,106
75,5
116,0
196,82
128,182
166,180
192,24
138,92
88,49
85,117
127,94
43,51
150,188
137,79
50,34
80,18
16,61
113,1
132,14
98,137
89,21
116,173
86,167
152,189
58,81
64,131
50,98
119,59
64,59
180,121
77,166
29,42
7,100
93,119
39,107
36,122
190,166
39,100
80,159
138,120
131,2
109,111
163,54
67,163
40,46
42,108
38,137
46,158
75,126
190,100
194,63
29,190
97,132
80,63
154,112
176,50
164,171
44,165
12,14
8,11
78,135
111,6
134,68
85,156
189,60
198,120
30,92
75,104
110,37
119,172
18,41
184,166
170,25
46,156
189,199
37,175
6,122
0,17
19,193
157,183
194,152
15,158
171,107
182,144
61,73
93,3
16,24
31,56
106,111
147,80
146,119
197,39
133,127
65,67
144,2
47,173
89,99
117,104
8,12
198,56
104,28
174,0
173,36
106,93
52,182
71,15
141,100
113,86
58,33
87,42
30,50
129,25
196,102
9,68
146,121
67,106
34,0
66,146
182,131
69,70
1,18
131,3
200,41
113,115
33,93
185,153
0,1
122,188
98,86
163,180
39,7
26,14
133,92
119,83
52,154
179,43
72,21
8,67
191,17
45,128
134,38
141,145
79,185
127,13
42,1
158,116
173,97
14,13
104,88
43,68
117,91
178,196
149,128
101,81
29,15
139,89
57,58
122,7
134,119
160,18
87,122
156,120
98,181
127,152
154,173
7,127
35,7
168,82
184,64
19,153
108,90
185,9
186,106
86,22
99,83
151,59
103,125
90,95
97,44
115,166
54,108
125,123
38,93
26,146
182,31
70,31
184,109
24,35
103,150
75,113
142,40
2,17
15,16
33,175
103,115
37,140
133,54
119,33
70,173
166,144
74,162
11,123
19,132
178,24
151,168
155,173
2,45
69,113
109,58
96,200
88,115
128,172
192,13
49,28
116,150
26,137
9,37
109,97
97,142
131,168
31,18
49,109
46,97
59,70
178,149
65,107
136,182
0,56
104,139
68,100
171,20
122,38
92,11
131,109
159,171
101,59
174,147
95,61
66,134
87,99
6,20
61,1
111,169
125,103
104,49
30,2
140,47
169,134
74,16
139,96
68,105
182,11
194,167
95,111
35,12
102,126
109,167
70,124
142,113
55,70
3,100
74,48
123,39
151,16
79,180
127,184
183,147
30,57
139,163
148,77
178,131
47,136
41,68
38,29
93,137
186,108
48,62
183,169
33,19
96,73
93,21
169,99
176,20
156,168
126,46
89,197
94,14
168,0
73,154
174,125
94,146
38,161
23,30
93,74
72,91
86,155
115,135
20,51
51,124
108,191
146,86
133,37
181,139
81,30
160,159
111,103
166,62
177,24
128,24
147,82
151,151
103,2
140,152
189,79
94,184
92,97
19,160
98,190
36,135
16,154
132,114
171,116
75,37
104,190
9,139
1,29
30,165
162,95
108,186
82,154
181,165
152,2
69,186
85,95
10,53
51,92
24,170
198,127
65,118
116,177
110,27
105,150
66,114
134,9
197,15
134,84
22,194
111,108
6,15
33,53
63,107
140,120
23,101
161,169
11,76
161,16
67,16
91,181
45,46
96,25
155,75
4,67
125,114
67,38
68,29
171,96
116,58
199,18
119,29
155,14
188,102
73,109
133,192
179,167
124,87
136,63
20,29
149,192
18,40
157,145
197,147
84,151
43,5
28,151
51,49
10,77
111,144
78,29
163,73
41,141
124,94
188,155
111,138
192,159
42,7
53,183
18,2
157,123
58,36
145,11
180,172
35,154
194,125
161,115
149,156
46,67
159,106
192,21
196,44
117,137
187,1
186,42
33,118
194,3
57,126
181,121
117,27
89,110
129,2
95,111
21,142
9,37
132,152
89,178
73,184
123,51
63,165
44,18
12,114
195,53
115,87
145,166
104,182
58,14
56,51
45,183
72,37
108,169
27,189
15,102
129,109
132,198
52,50
21,41
179,125
189,186
57,132
197,139
54,149
190,8
169,83
174,0
196,116
72,50
108,14
80,50
170,9
125,108
147,160
8,125
172,77
144,54
92,146
68,178
103,178
0,80
189,181
150,115
76,175
106,188
57,190
72,84
121,61
32,10
92,101
14,92
62,115
139,156
197,73
136,26
15,122
156,9
24,101
37,161
127,25
43,111
153,29
120,61
187,139
124,155
